340032,262.9,283.9,6.9,6.9,27.6
340132,262.7,284,20.9,0,27.6
340232,262.7,283.8,0,27.7,27.7
340332,262.8,283.8,13.8,0,27.7
340432,262.9,283.8,0,13.8,27.5
340532,262.8,283.9,6.9,20.8,27.7
340632,262.8,283.9,0,0,27.7
340732,262.6,283.8,0,20.9,27.6
340832,262.6,283.5,0,13.8,27.5
340933,262.6,283.6,0,27.7,27.7
341032,262.5,283.5,0,20.8,27.5
341132,262.6,283.8,13.9,20.8,27.6
341232,262.5,283.8,7,20.7,27.6
341332,262.6,284,6.9,13.9,27.6
341432,262.6,283.7,13.9,6.9,27.6
341533,262.6,283.7,0,6.9,27.7
341634,262.7,283.6,6.9,6.9,27.6
341734,262.7,283.6,6.9,6.9,27.7
341834,262.8,283.6,0,13.9,27.7
341934,262.7,283.6,0,13.8,27.7
342034,262.6,283.5,0,6.9,27.4
342134,262.8,283.3,0,13.8,27.6
342232,262.9,283.1,13.9,13.9,27.6
342332,262.4,281,13.9,13.9,27.6
342433,262.5,280.6,0,13.8,27.6
342532,262.6,281.1,0,20.8,27.6
342632,262.5,281.3,0,0,27.6
342732,262.6,277.7,20.8,0,27.7
342832,262.4,273.1,6.9,0,27.7
342932,262.1,272.4,6.9,13.8,27.6
343032,261.8,268.8,6.9,6.9,27.7
343132,260.8,263.9,0,20.8,27.7
343233,261.6,260.1,6.9,13.9,27.7
343332,259.6,257.9,0,0,27.4
343432,263.3,253.2,0,6.9,27.5
343532,280.4,249.7,6.9,0,27.6
343632,292.6,247.7,0,13.8,27.5
343732,298.9,246.2,0,6.9,27.4
343833,300.8,245.9,13.9,6.9,27.6
343933,302.1,246.1,6.9,13.8,27.5
344033,304.7,245.1,20.9,6.9,27.5
344134,306.4,245.1,6.9,6.9,27.7
344233,307.3,245.3,20.8,0,27.5
344334,308.1,245.2,0,6.9,20.7
344434,308.9,245.1,0,0,27.6
344532,309.8,245.1,0,6.9,27.5
344633,311,245.4,0,6.9,27.6
344734,312.3,245.3,6.9,13.8,27.6
344834,312.4,244.8,6.9,0,27.3
344932,312.5,244.3,6.9,0,27.5
345033,313.2,244.1,0,20.7,27.4
345134,314,243.6,0,13.8,27.6
345232,314.8,243.6,0,13.9,27.6
345332,314.9,243.5,7,6.9,27.6
345433,314.9,243.3,6.9,27.7,27.5
345533,315.2,243.8,6.9,13.8,27.6
345633,315.8,243.6,0,6.9,27.5
345732,315.9,243.8,7,6.9,27.6
345832,316.1,243.7,13.9,0,27.5
345932,315.9,243.5,6.9,27.7,27.6
346032,315.7,243,0,6.9,27.6
346132,315.1,242.8,0,0,27.5
346232,314.9,242.4,20.8,6.9,27.5
346332,314.7,242.1,0,13.9,27.4
346433,315,242,0,6.9,27.6
346534,315.2,241.8,13.9,13.9,27.5
346632,315.3,242,6.9,0,20.6
346732,315.4,241.7,0,20.8,27.5
346832,315.1,241.7,0,6.9,27.6
346933,315.1,241.8,0,0,27.5
347034,315.3,241.7,0,6.9,27.6
347134,315.2,241.9,6.9,0,27.5
347234,315.1,241.5,0,13.8,27.5
347334,315.2,241.5,0,13.8,20.7
347432,315.6,241.4,0,0,27.5
347533,315.7,241.5,0,6.9,27.6
347633,316,241.5,0,13.8,27.6
347734,315.7,241.4,0,7,27.5
347832,316.1,241.6,0,13.9,27.8
347932,316,241.6,6.9,27.6,27.5
348032,316,241.5,6.9,13.9,27.6
348133,316,241.6,6.9,6.9,27.6
348232,315.8,241.4,6.9,13.8,27.6
348333,316,241.5,0,13.8,27.5
348434,315.8,241.4,0,13.8,27.4
348532,315.9,241.5,13.8,0,27.5
348632,316,241.7,20.8,13.8,27.5
348732,316.1,241.5,0,0,27.6
348833,315.8,241.7,0,6.9,27.5
348933,315.9,241.5,0,13.8,27.5
349034,315.9,241.8,6.9,6.9,27.6
349132,316,241.7,0,6.9,27.5
349233,316.2,241.8,0,0,27.6
349333,316.4,241.8,0,0,27.5
349433,316.4,242,6.9,6.9,27.5
349533,316.5,241.7,0,6.9,27.5
349634,316.7,241.7,0,0,27.6
349732,316.8,241.7,6.9,6.9,27.6
349833,316.9,241.8,0,0,27.5
349932,317,241.9,0,6.9,27.4
350033,316.9,241.7,0,13.9,27.6
